ticker,oi_mean,oi_median,oi_std,oi_min,oi_max,chg_mean,chg_median,chg_std,chg_min,chg_max,latest_oi,latest_chg,oi_cv,frac_zero_oi,distinct_oi,oi_percentile_latest
INFY.NS,0.5886271895161306,0.5667560215074958,0.15033191683000827,0.28255894858909936,1.154996033237296,-0.000787118158558922,-0.0010755723350956425,0.13839160213157506,-0.48227071835061686,0.5528123892517904,0.9565567608205349,0.2882854979641971,0.2553941093913546,0.0,1144,97.37762237762237
ITC.NS,0.5305104328024656,0.512286546764603,0.11719973691879305,0.31854001726703285,0.9806283163480165,-0.0018746759629389733,-0.0048280770127654415,0.11073905643173247,-0.5448781078581952,0.51670920773247,0.6883997077091706,0.0516536646462874,0.2209188164305755,0.0,1142,89.92994746059544
JSWSTEEL.NS,0.6996699206059023,0.6899671004741446,0.15206540535869803,0.3584502268342285,1.254677903156692,-0.00013709854122922658,-0.008691470609938773,0.1407741111401779,-0.4864297025666754,0.546224730845312,0.6799628942486086,0.0012177580618381034,0.21733877772966426,0.0,1142,47.46059544658494
KOTAKBANK.NS,0.6784995401163144,0.6425224579035176,0.16369536968770265,0.384315686945534,1.473603906011596,-0.0037973622600755053,-0.006960244830042428,0.15055550732230616,-0.5027984987640667,0.5318581580890599,0.6682603647291852,0.07528968593088281,0.2412608410311384,0.0,1142,57.00525394045534
LT.NS,0.5832392175857826,0.5510783042560191,0.15377587960846978,0.32023730250015137,1.1835417686590413,-0.0019015221024629235,-0.009490227378768729,0.1617993486824857,-0.5310492862369391,0.6709579575619662,0.5405646446481571,0.09443395498517981,0.2636583325877816,0.0,1142,47.11033274956217
M&M.NS,0.6018953526075466,0.5976854831411537,0.19543966636967497,0.1720504404905856,1.3911749482401656,0.0012877636562483217,-0.012205308441137708,0.1682274685836996,-0.737377541591048,0.7908126831459813,0.7346596596596596,0.04692363373363451,0.3247070533490352,0.0,1142,78.54640980735552
MARUTI.NS,0.5350763326772343,0.49147192098162007,0.19231500080830402,0.2537163162570329,1.135054385883012,-0.003471605366474877,-0.010558207355499616,0.18000891403144673,-0.6613735582193012,0.7122595493827091,0.4126024546949908,-0.08325372278811516,0.3594160105083758,0.0,665,32.33082706766917
NESTLEIND.NS,0.6024262589561371,0.5682015321025441,0.19381417295872153,0.21505376344086022,1.3940961655508217,-0.0010384726339549273,-0.00411608507397182,0.17341321200798127,-0.7207625196058235,0.8404127201119682,0.3939257929383603,-0.27310304941644015,0.3217226508262702,0.0,1141,9.457092819614711
NTPC.NS,0.4016052105023699,0.382473816783773,0.15001843173996857,0.13307130825379002,0.9610511097882473,-0.0013817108793823189,-0.002089629250077385,0.14685939872627374,-0.49631541610505797,0.556898928424099,0.7281083095267669,0.33484536020945055,0.3735470253294517,0.0,1147,96.1639058413252
ONGC.NS,0.40403786244302614,0.38884411796915813,0.1277835125429802,0.11245556984042955,0.993403371610066,-0.0033167117199620465,-0.0068955098863687225,0.13936976830812497,-0.48649212194740576,0.590662220396958,0.5693747685263122,0.09427705975224354,0.31626618300159703,0.0,1142,89.4045534150613
POWERGRID.NS,0.5713220040802561,0.5434220128706959,0.14684881711803707,0.2277869002006933,1.1826295636143271,-0.0010560376735888703,-0.007978796588359982,0.15177129891873775,-0.5084369898227915,0.6850362242101382,0.8804402201100551,0.2660632491389222,0.2570333648437748,0.0,1147,95.5536181342633
RELIANCE.NS,0.5799972555782291,0.5721099644436736,0.11982553699145887,0.2656246446790931,1.0233433266019625,-0.0021055895732303353,-0.0060559285712403765,0.12208003605782804,-0.4977914802238625,0.44593772995994163,0.6123896091117069,0.00702483406223009,0.20659673100004347,0.0,1139,62.6865671641791
SBILIFE.NS,0.46788067894581253,0.4282788432745356,0.18917313632639035,0.18458274398868457,2.0803897685749084,0.00010779625904702731,-0.008636590055076998,0.20134526009026685,-1.418173823010651,1.681517628893746,0.8059817656215255,0.0643043462666868,0.40431918828667723,0.0,1142,95.27145359019265
