ticker,delta_f1_macro,control_f1_macro,pcr_f1_macro,delta_sell_f1,delta_hold_f1,delta_buy_f1,control_sell_f1,control_hold_f1,control_buy_f1,pcr_sell_f1,pcr_hold_f1,pcr_buy_f1,control_cv_score,pcr_cv_score,optuna_trials,classes_improved,classes_worsened,class_collapse,prediction_shift,buy_shift,hold_shift,sell_shift,performance_class
CIPLA.NS,-0.0360189645837839,0.3653683519940078,0.3293493874102239,-0.0234463276836158,-0.0200322528147237,-0.064578313253012,0.4067796610169492,0.5447470817120622,0.144578313253012,0.3833333333333333,0.5247148288973384,0.08,0.294586431208325,0.3129651158593582,75,0,3,BUY,16,-8,6,2,STRONG_REGRESSION
COALINDIA.NS,-0.0160709224581037,0.3000861214474903,0.2840151989893866,-0.0447529603919967,0.0649885583524027,-0.0684483653347171,0.3544303797468354,0.1263157894736842,0.4195121951219512,0.3096774193548387,0.1913043478260869,0.351063829787234,0.3230424484925083,0.3248038252113607,30,1,2,,40,-17,20,-3,MODERATE_REGRESSION
DRREDDY.NS,-0.018285307624569,0.365945945945946,0.3476606383213769,-0.0434532374100719,0.0151033386327504,-0.0265060240963855,0.36,0.3378378378378378,0.4,0.316546762589928,0.3529411764705882,0.3734939759036144,0.3391918443745487,0.3411980020847437,75,1,2,,22,6,5,-11,MODERATE_REGRESSION
EICHERMOT.NS,-0.0206020263480333,0.3309354044648162,0.3103333781167828,-0.010122230710466,-0.0718954248366012,0.0202115765029672,0.3088235294117647,0.3333333333333333,0.3506493506493506,0.2987012987012987,0.261437908496732,0.3708609271523179,0.328702201678271,0.3163350039454136,75,1,2,,36,-3,-15,18,STRONG_REGRESSION
GRASIM.NS,0.0095725016152075,0.3252776723654012,0.3348501739806087,0.0232947746310331,0.0247650899824812,-0.0193423597678916,0.2201834862385321,0.3726708074534161,0.3829787234042553,0.2434782608695652,0.3974358974358974,0.3636363636363636,0.3297527183256485,0.3538526609067295,75,2,1,,12,-1,-5,6,MODERATE_IMPROVEMENT
HCLTECH.NS,0.007810189361334,0.3014218208454912,0.3092320102068253,0.0262615301139446,-0.00042364378247,-0.0024073182474723,0.2474226804123711,0.6245847176079734,0.032258064516129,0.2736842105263158,0.6241610738255033,0.0298507462686567,0.3190940516924626,0.3113069243348944,30,1,2,BUY,10,5,-3,-2,MODERATE_IMPROVEMENT
HDFCBANK.NS,0.0108253369997884,0.2709362469969456,0.281761583996734,0.0,0.0868421052631578,-0.0543660942637924,0.1126760563380281,0.2631578947368421,0.4369747899159664,0.1126760563380281,0.35,0.3826086956521739,0.3439225425764444,0.3311691828315073,75,1,1,,8,-4,4,0,MODERATE_IMPROVEMENT
HDFCLIFE.NS,-0.0103545239753153,0.2960536029774906,0.2856990790021752,-0.065040650406504,0.1096910706728734,-0.0757139921923156,0.3333333333333333,0.1726618705035971,0.3821656050955414,0.2682926829268293,0.2823529411764706,0.3064516129032258,0.3154674106246324,0.3082115127143756,75,1,2,,66,-33,31,2,MODERATE_REGRESSION
HEROMOTOCO.NS,-0.0122530846797327,0.3456876053911756,0.3334345207114428,-0.138127007659995,0.0850018654396219,0.0163658881811747,0.3661971830985915,0.4069767441860465,0.2638888888888889,0.2280701754385964,0.4919786096256685,0.2802547770700637,0.3400068226234404,0.3475342474379158,75,2,1,SELL,56,13,15,-28,MODERATE_REGRESSION
HINDALCO.NS,-0.0373701977132988,0.3579609150128768,0.320590717299578,-0.1026086956521739,-0.0282926829268292,0.0187907854391068,0.2826086956521739,0.4682926829268293,0.3229813664596273,0.18,0.44,0.3417721518987341,0.349485586410571,0.3447628054705643,30,1,2,SELL,16,-3,-5,8,STRONG_REGRESSION
HINDUNILVR.NS,-0.0560729255499927,0.4158492689505292,0.3597763434005365,-0.0283687943262411,-0.0116279069767442,-0.1282220753469927,0.3829787234042553,0.5116279069767442,0.3529411764705882,0.3546099290780142,0.5,0.2247191011235955,0.3647411231953917,0.36397105355773,75,0,3,BUY,26,-13,13,0,STRONG_REGRESSION
ICICIBANK.NS,0.0402161162348562,0.3285142912886547,0.368730407523511,0.0448275862068965,0.0121806298276886,0.0636401326699834,0.3,0.4019607843137255,0.2835820895522388,0.3448275862068966,0.4141414141414141,0.3472222222222222,0.3389087086121735,0.3268362793085588,75,3,0,,20,10,-6,-4,STRONG_IMPROVEMENT
INDIGO.NS,0.0834727870636668,0.3125467596805176,0.3960195467441844,0.0923395445134575,0.1121693121693121,0.0459095045082306,0.238095238095238,0.3428571428571428,0.3566878980891719,0.3304347826086956,0.455026455026455,0.4025974025974026,0.2793118278844354,0.2731295154615261,30,3,0,,28,-3,14,-11,STRONG_IMPROVEMENT
INFY.NS,0.0539350060476821,0.2985273464146703,0.3524623524623524,0.0146520146520146,0.0376068376068376,0.109546165884194,0.2051282051282051,0.5777777777777777,0.1126760563380281,0.2197802197802197,0.6153846153846154,0.2222222222222222,0.3479081895586463,0.3328292522947347,75,3,0,,52,10,16,-26,STRONG_IMPROVEMENT
ITC.NS,-0.0239104322313966,0.3237947909623124,0.2998843587309158,-0.0339535282517362,0.010171461784365,-0.0479492302268186,0.1834862385321101,0.4414414414414414,0.3464566929133858,0.1495327102803738,0.4516129032258064,0.2985074626865671,0.3966260608425631,0.4084960015392141,30,1,2,,14,7,-5,-2,STRONG_REGRESSION
JSWSTEEL.NS,0.009125734681777,0.2971291221182106,0.3062548567999877,0.0238848627130754,0.0301011912386319,-0.0266088499063762,0.0792079207920792,0.4834123222748815,0.3287671232876712,0.1030927835051546,0.5135135135135135,0.302158273381295,0.3959536411900542,0.3814511842658129,30,2,1,,22,-7,11,-4,MODERATE_IMPROVEMENT
KOTAKBANK.NS,0.0109722890333386,0.3315943563320569,0.3425666453653956,-0.0199931530297843,0.0050802139037432,0.0478298062260572,0.1417322834645669,0.5176470588235295,0.3354037267080745,0.1217391304347826,0.5227272727272727,0.3832335329341317,0.3721971142816838,0.3669118598645464,75,2,1,,24,6,6,-12,MODERATE_IMPROVEMENT
LT.NS,0.0173090879271224,0.3376900710234043,0.3549991589505267,-0.0424710424710424,0.0231903636158955,0.071207942636514,0.2857142857142857,0.3597883597883597,0.3675675675675676,0.2432432432432432,0.3829787234042553,0.4387755102040816,0.394777278260192,0.388412155727543,75,2,1,,22,11,-1,-10,MODERATE_IMPROVEMENT
M&M.NS,-0.0070065306725793,0.3636142833087007,0.3566077526361214,0.0020859407592824,-0.056025568715924,0.0329200359389038,0.2745098039215686,0.4263959390862944,0.389937106918239,0.2765957446808511,0.3703703703703703,0.4228571428571429,0.338589088619511,0.3564808297328929,75,2,1,,32,16,-8,-8,MODERATE_REGRESSION
MARUTI.NS,-0.0018784655027159,0.2689999729751006,0.2671215074723846,0.0383077948034643,-0.0069061542745753,-0.037037037037037,0.3037974683544304,0.4661654135338345,0.037037037037037,0.3421052631578947,0.4592592592592592,0.0,0.3641466123555215,0.3653843978913909,30,1,2,BUY,6,1,2,-3,NEUTRAL
NESTLEIND.NS,0.0140114698811668,0.2663761898211659,0.2803876597023327,-0.0404040404040403,0.0203216811859039,0.0621167688616368,0.2222222222222222,0.4777327935222672,0.0991735537190082,0.1818181818181818,0.4980544747081712,0.1612903225806451,0.3482415148144774,0.3356323355068408,30,2,1,,26,3,10,-13,MODERATE_IMPROVEMENT
NTPC.NS,-0.0303474498165066,0.2969171773810489,0.2665697275645423,-0.0617397151415123,-0.0499886078833446,0.0206859735753369,0.2406015037593984,0.4976076555023923,0.1525423728813559,0.1788617886178861,0.4476190476190476,0.1732283464566929,0.3431699876741343,0.3294309454847562,75,1,2,,20,9,1,-10,STRONG_REGRESSION
ONGC.NS,-0.0265909677416312,0.3374568720061635,0.3108659042645322,0.0823266219239373,-0.0254592330003222,-0.1366402921485088,0.2666666666666666,0.4392523364485981,0.3064516129032258,0.348993288590604,0.4137931034482758,0.1698113207547169,0.3493465294856587,0.344780669188203,75,1,2,BUY,58,-18,-11,29,STRONG_REGRESSION
