ticker,candidate_count,eligible_candidate_count,selected_version,selected_cv_score,selected_trained_at,selection_status,selection_reason,excluded_candidate_versions,excluded_candidate_reasons,policy_version
CIPLA.NS,3,3,91f547418e28,0.3106231507934906,2026-08-12T02:58:21.593787+00:00,SELECTED,Highest CV score,4667a453f22d;a133bb37aed0,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
COALINDIA.NS,3,3,34ba065a209a,0.32632784923224734,2026-08-11T03:18:48.160412+00:00,SELECTED,Highest CV score,8c000efaacb2;174fb1f190ff,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
DRREDDY.NS,3,3,776e48979a61,0.33313379041500485,2026-08-11T03:22:52.490074+00:00,SELECTED,Highest CV score,2ac38559612d;7210d4a2ac7f,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
EICHERMOT.NS,3,3,f4fcbc8ea09b,0.32025447919149735,2026-08-12T03:08:48.900024+00:00,SELECTED,Highest CV score,cebb182a5b8f;1add26b9ab6f,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
ETERNAL.NS,3,3,213c7cdf6b07,0.3296601706993044,2026-08-12T08:05:29.100046+00:00,SELECTED,Highest CV score,e88bbaaef3e7;95138f428631,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
GRASIM.NS,3,3,2c1de894a637,0.3472435989840758,2026-08-12T08:09:14.446202+00:00,SELECTED,Highest CV score,bd33d236146e;60c64b7bac5f,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
HCLTECH.NS,3,3,0897f8e186c5,0.3300968507616683,2026-08-12T03:16:47.900478+00:00,SELECTED,Highest CV score,e3f525b6c80b;c52c57f19196,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
HDFCBANK.NS,3,3,4a79ab752e51,0.3555857626195199,2026-08-12T08:14:05.173265+00:00,SELECTED,Highest CV score,44def814527e;ea91152f3700,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
HDFCLIFE.NS,3,3,41399ec09316,0.31497006565524777,2026-08-11T03:42:08.760066+00:00,SELECTED,Highest CV score,645a8e00fc74;2a47400ee179,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
HEROMOTOCO.NS,3,3,8bc8602ae09a,0.3587135020564374,2026-08-12T03:29:36.291788+00:00,SELECTED,Highest CV score,38319e433e38;50e12ce11fad,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
HINDALCO.NS,3,3,dbc2925e4fde,0.3545553608370763,2026-08-12T03:31:09.406872+00:00,SELECTED,Highest CV score,75117f692dd8;75c4bcd16d7e,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
HINDUNILVR.NS,3,3,cd95e34ed076,0.3732340635181399,2026-08-11T03:50:22.067966+00:00,SELECTED,Highest CV score,d623ab98c5ab;6ae4cbc68cf5,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
ICICIBANK.NS,3,3,d63609af1d97,0.33901812142319143,2026-08-11T03:54:28.971417+00:00,SELECTED,Highest CV score,42fb30971459;9a90cf51924c,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
INDIGO.NS,3,3,25dbcd62a57b,0.27854298494689167,2026-08-11T03:55:49.589901+00:00,SELECTED,Highest CV score,f0e8b414f4f4;208247af8cb1,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
INFY.NS,3,3,ce793e4e8839,0.3491674471995493,2026-08-11T04:02:46.016275+00:00,SELECTED,Highest CV score,90f8d2184423;6c549effc744,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
ITC.NS,3,3,dd4365c40715,0.3925019237351393,2026-08-12T08:52:35.443076+00:00,SELECTED,Highest CV score,ec7014f4e9df;1ff50678cced,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
JIOFIN.NS,3,3,0d2db96d5965,0.3593897174811227,2026-08-12T03:50:31.159090+00:00,SELECTED,Highest CV score,a136644c1d2e;beb622d9d178,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
JSWSTEEL.NS,3,3,f6cbf70e626f,0.3917800608472353,2026-08-12T03:52:16.579002+00:00,SELECTED,Highest CV score,a62a0a0f6fd9;15f1cf629f57,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
KOTAKBANK.NS,3,3,572bb63ba388,0.38857360859087214,2026-08-12T09:08:46.792551+00:00,SELECTED,Highest CV score,ae9b42f39a04;8778f8301216,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
LT.NS,3,3,8c272c989297,0.4024609042059208,2026-08-11T04:14:49.377896+00:00,SELECTED,Highest CV score,1e25cd6b3edc;fffa74c6ced2,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
M&M.NS,3,3,a82ca768507c,0.3557305101074509,2026-08-12T09:22:06.062022+00:00,SELECTED,Highest CV score,0743b33ecef7;558d590356df,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
MARUTI.NS,3,3,7ef4e7eabc45,0.35231142360776646,2026-08-12T04:08:52.588047+00:00,SELECTED,Highest CV score,f65d66b576f5;9d76042d0f88,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
MAXHEALTH.NS,3,3,89ccde0bb6bb,0.4270401795763311,2026-08-12T09:28:20.050809+00:00,SELECTED,Highest CV score,df25620a16f2;6687bf1b01c5,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
NESTLEIND.NS,3,3,f04bde3608d3,0.34524218281263563,2026-08-11T04:59:52.806984+00:00,SELECTED,Highest CV score,7aadd30cf3dd;718f85fe9370,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
NTPC.NS,3,3,a97c5bf097c4,0.3415225533702483,2026-08-12T04:17:15.265521+00:00,SELECTED,Highest CV score,1f4a7d9a04b8;e850d8e39a71,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
ONGC.NS,3,3,f9edf9feaee0,0.3523151126033972,2026-08-11T05:11:33.718348+00:00,SELECTED,Highest CV score,09b398bfd1df;6c29ed4f4b31,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
POWERGRID.NS,3,3,baeacbd6a8ee,0.3290959740768427,2026-08-12T09:46:28.560111+00:00,SELECTED,Highest CV score,138281d5dbb0;40b304c072b0,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
RELIANCE.NS,2,2,a4264ce3aa03,0.3316513752771102,2026-08-12T09:47:53.839017+00:00,SELECTED,Highest CV score,bc1d09c11c6c,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
