ticker,cutoff_date,historical_observation_count,historical_mean_delta_f1,historical_collapse_rate,current_delta_cv_score,gate_enabled,gate_reason,information_cutoff_date,control_f1_macro,pcr_f1_macro,delta_f1_macro,gated_f1_macro,gated_delta_vs_control,class_collapse_bool,delta_sell_f1,delta_hold_f1,delta_buy_f1
BAJAJ-AUTO.NS,2026-08-10,4,-0.01482853907870125,0.5,-0.0063426919476375,False,"WARM: hist_mean=-0.014829, hist_collapse=0.50",2026-08-10,0.3089951236502961,0.2571891323235065,-0.0518059913267895,0.3089951236502961,0.0,False,-0.0918466000644537,0.0036353467561521,-0.0672067206720671
BAJAJFINSV.NS,2025-08-08,0,0.0,0.0,0.0213225083989423,True,COLD: cv_delta=0.021323,2025-08-08,0.2947072072072072,0.2906947176033534,-0.0040124896038538,0.2906947176033534,-0.004012489603853808,True,-0.0529411764705882,0.0081656124209316,0.0327380952380952
BAJAJFINSV.NS,2025-11-10,1,-0.0040124896038538,1.0,-0.0155244218277685,False,"WARM: hist_mean=-0.004012, hist_collapse=1.00",2025-11-10,0.3497382036744431,0.3416835016835016,-0.0080547019909414,0.3497382036744431,0.0,False,-0.0202298850574712,-0.00104821802935,-0.0028860028860028
BAJAJFINSV.NS,2026-02-10,2,-0.0060335957973975994,0.5,-0.0064824086614074,False,"WARM: hist_mean=-0.006034, hist_collapse=0.50",2026-02-10,0.314650915798692,0.3600987456409143,0.0454478298422223,0.314650915798692,0.0,False,0.040210942649967,0.022206472950626,0.0739260739260739
BAJAJFINSV.NS,2026-05-08,3,0.011126879415809034,0.3333333333333333,-0.0168850768400214,False,"WARM: hist_mean=0.011127, hist_collapse=0.33",2026-05-08,0.3555972440618469,0.3632067880915807,0.0076095440297337,0.3555972440618469,0.0,False,0.0035494310470821,0.0600955275727312,-0.0408163265306122
BAJAJFINSV.NS,2026-08-10,4,0.0102475455692902,0.25,0.0074623503989783,False,"WARM: hist_mean=0.010248, hist_collapse=0.25",2026-08-10,0.3269859225741579,0.3186631477770718,-0.008322774797086,0.3269859225741579,0.0,False,-0.0353294470941529,0.0182976306394028,-0.0079365079365079
BAJFINANCE.NS,2025-08-08,0,0.0,0.0,-0.0288272257345432,False,COLD: cv_delta=-0.028827,2025-08-08,0.2657004830917874,0.276068376068376,0.0103678929765885,0.2657004830917874,0.0,True,-0.0273132664437011,-0.0185061315496097,0.0769230769230769
BAJFINANCE.NS,2025-11-10,1,0.0103678929765885,1.0,-0.0123127942292055,False,"WARM: hist_mean=0.010368, hist_collapse=1.00",2025-11-10,0.2613300391610112,0.1924517430135407,-0.0688782961474704,0.2613300391610112,0.0,True,-0.0066528681253696,-0.1293937850229241,-0.0705882352941176
BAJFINANCE.NS,2026-02-10,2,-0.02925520158544095,1.0,-0.0137179214914628,False,"WARM: hist_mean=-0.029255, hist_collapse=1.00",2026-02-10,0.4744096483226918,0.4569452849022741,-0.0174643634204176,0.4744096483226918,0.0,False,-0.0289495450785772,-0.0133425350816654,-0.01010101010101
BAJFINANCE.NS,2026-05-08,3,-0.025324922197099836,0.6666666666666666,-0.0057480794765161,False,"WARM: hist_mean=-0.025325, hist_collapse=0.67",2026-05-08,0.3681654270903764,0.3965794094937444,0.028413982403368,0.3681654270903764,0.0,False,0.0103174603174602,0.0608127308894572,0.0141117560031865
BAJFINANCE.NS,2026-08-10,4,-0.011890196046982878,0.5,-0.0208838019413243,False,"WARM: hist_mean=-0.011890, hist_collapse=0.50",2026-08-10,0.3400857967552503,0.3345288376932394,-0.0055569590620109,0.3400857967552503,0.0,False,-0.029776373359261,0.0362315465933963,-0.023126050420168
BEL.NS,2025-08-08,0,0.0,0.0,-0.0056187137305403,False,COLD: cv_delta=-0.005619,2025-08-08,0.3245190892249716,0.3730718033043614,0.0485527140793898,0.3245190892249716,0.0,False,0.0830848737825482,-0.0256620256620256,0.088235294117647
BEL.NS,2025-11-10,1,0.0485527140793898,0.0,-0.0033972647179359,True,"WARM: hist_mean=0.048553, hist_collapse=0.00",2025-11-10,0.290052035506581,0.3387021475256769,0.0486501120190959,0.3387021475256769,0.048650112019095915,False,-0.0079365079365079,0.149124939231891,0.0047619047619047
BEL.NS,2026-02-10,2,0.04860141304924285,0.0,0.0068974724399105,True,"WARM: hist_mean=0.048601, hist_collapse=0.00",2026-02-10,0.3829687547274197,0.4012085635848012,0.0182398088573815,0.4012085635848012,0.018239808857381523,False,0.0332033203320331,-0.0240030971738289,0.0455192034139402
