ticker,version,model_exists,feature_exists,artifact_status
NESTLEIND.NS,f04bde3608d3,True,True,ARTIFACTS_COMPLETE
NESTLEIND.NS,7aadd30cf3dd,True,True,ARTIFACTS_COMPLETE
NESTLEIND.NS,718f85fe9370,True,True,ARTIFACTS_COMPLETE
NTPC.NS,1f4a7d9a04b8,True,True,ARTIFACTS_COMPLETE
NTPC.NS,a97c5bf097c4,True,True,ARTIFACTS_COMPLETE
NTPC.NS,e850d8e39a71,True,True,ARTIFACTS_COMPLETE
ONGC.NS,f9edf9feaee0,True,True,ARTIFACTS_COMPLETE
ONGC.NS,09b398bfd1df,True,True,ARTIFACTS_COMPLETE
ONGC.NS,6c29ed4f4b31,True,True,ARTIFACTS_COMPLETE
POWERGRID.NS,138281d5dbb0,True,True,ARTIFACTS_COMPLETE
POWERGRID.NS,40b304c072b0,True,True,ARTIFACTS_COMPLETE
POWERGRID.NS,baeacbd6a8ee,True,True,ARTIFACTS_COMPLETE
RELIANCE.NS,bc1d09c11c6c,True,True,ARTIFACTS_COMPLETE
RELIANCE.NS,a4264ce3aa03,True,True,ARTIFACTS_COMPLETE
SBILIFE.NS,7d4e4f2083ec,True,True,ARTIFACTS_COMPLETE
SBILIFE.NS,56d64f0a6cba,True,True,ARTIFACTS_COMPLETE
SBILIFE.NS,710b376617f0,True,True,ARTIFACTS_COMPLETE
SBIN.NS,82097585e678,True,True,ARTIFACTS_COMPLETE
SBIN.NS,89800c74b7e8,True,True,ARTIFACTS_COMPLETE
SBIN.NS,41efcda90bcf,True,True,ARTIFACTS_COMPLETE
SHRIRAMFIN.NS,c1fc54975746,True,True,ARTIFACTS_COMPLETE
SHRIRAMFIN.NS,6420994a0e89,True,True,ARTIFACTS_COMPLETE
SHRIRAMFIN.NS,0e7da5a7998c,True,True,ARTIFACTS_COMPLETE
SUNPHARMA.NS,24219657af50,True,True,ARTIFACTS_COMPLETE
SUNPHARMA.NS,bfa8f74a2afe,True,True,ARTIFACTS_COMPLETE
SUNPHARMA.NS,845257eace4d,True,True,ARTIFACTS_COMPLETE
TATACONSUM.NS,a52809467ad6,True,True,ARTIFACTS_COMPLETE
TATACONSUM.NS,241b68c2c661,True,True,ARTIFACTS_COMPLETE
TATACONSUM.NS,4d67a31ef2d1,True,True,ARTIFACTS_COMPLETE
TATASTEEL.NS,b6ad42ab4e15,True,True,ARTIFACTS_COMPLETE
TATASTEEL.NS,182b9748cbf7,True,True,ARTIFACTS_COMPLETE
TATASTEEL.NS,6b0ec6e931d3,True,True,ARTIFACTS_COMPLETE
TCS.NS,40b61a24a045,True,True,ARTIFACTS_COMPLETE
TCS.NS,68df90ea3a2f,True,True,ARTIFACTS_COMPLETE
TCS.NS,39f892ad8a37,True,True,ARTIFACTS_COMPLETE
TECHM.NS,e252ca12ff9b,True,True,ARTIFACTS_COMPLETE
TECHM.NS,5011305981a8,True,True,ARTIFACTS_COMPLETE
TECHM.NS,44f46805464f,True,True,ARTIFACTS_COMPLETE
TITAN.NS,f22de148c0b9,True,True,ARTIFACTS_COMPLETE
TITAN.NS,67c0dc7422a2,True,True,ARTIFACTS_COMPLETE
TITAN.NS,c62d01aa5314,True,True,ARTIFACTS_COMPLETE
TRENT.NS,8dd0db56b45b,True,True,ARTIFACTS_COMPLETE
TRENT.NS,67fe9e438970,True,True,ARTIFACTS_COMPLETE
TRENT.NS,9106deb806b5,True,True,ARTIFACTS_COMPLETE
ULTRACEMCO.NS,2b6d15d443e9,True,True,ARTIFACTS_COMPLETE
ULTRACEMCO.NS,8755f4b0285f,True,True,ARTIFACTS_COMPLETE
ULTRACEMCO.NS,2c6e05607985,True,True,ARTIFACTS_COMPLETE
WIPRO.NS,9ff5cf2a14aa,True,True,ARTIFACTS_COMPLETE
