ticker,version,recorded_status,dataset_exists,pipeline_version,pipeline_hash_recorded,target_definition_recorded,provenance_classification
SBILIFE.NS,7d4e4f2083ec,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SBILIFE.NS,56d64f0a6cba,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SBILIFE.NS,710b376617f0,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SBIN.NS,82097585e678,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SBIN.NS,89800c74b7e8,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SBIN.NS,41efcda90bcf,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SHRIRAMFIN.NS,c1fc54975746,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SHRIRAMFIN.NS,6420994a0e89,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SHRIRAMFIN.NS,0e7da5a7998c,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SUNPHARMA.NS,24219657af50,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SUNPHARMA.NS,bfa8f74a2afe,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
SUNPHARMA.NS,845257eace4d,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TATACONSUM.NS,a52809467ad6,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TATACONSUM.NS,241b68c2c661,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TATACONSUM.NS,4d67a31ef2d1,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TATASTEEL.NS,b6ad42ab4e15,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TATASTEEL.NS,182b9748cbf7,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TATASTEEL.NS,6b0ec6e931d3,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TCS.NS,40b61a24a045,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TCS.NS,68df90ea3a2f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TCS.NS,39f892ad8a37,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TECHM.NS,e252ca12ff9b,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TECHM.NS,5011305981a8,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TECHM.NS,44f46805464f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TITAN.NS,f22de148c0b9,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TITAN.NS,67c0dc7422a2,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TITAN.NS,c62d01aa5314,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TRENT.NS,8dd0db56b45b,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TRENT.NS,67fe9e438970,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
TRENT.NS,9106deb806b5,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ULTRACEMCO.NS,2b6d15d443e9,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ULTRACEMCO.NS,8755f4b0285f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ULTRACEMCO.NS,2c6e05607985,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
WIPRO.NS,9ff5cf2a14aa,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
WIPRO.NS,1999ed4012b1,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
WIPRO.NS,6873fcb78722,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
