ticker,version,model_hash_expected,feature_hash_expected,hash_status,hash_classification
BRITANNIA.NS,b4951f71a6bf,b4951f71a6bf,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
BRITANNIA.NS,75a51f014587,75a51f014587,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
CIPLA.NS,4667a453f22d,4667a453f22d,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
CIPLA.NS,91f547418e28,91f547418e28,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
CIPLA.NS,a133bb37aed0,a133bb37aed0,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
COALINDIA.NS,34ba065a209a,34ba065a209a,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
COALINDIA.NS,8c000efaacb2,8c000efaacb2,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
COALINDIA.NS,174fb1f190ff,174fb1f190ff,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
DRREDDY.NS,776e48979a61,776e48979a61,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
DRREDDY.NS,2ac38559612d,2ac38559612d,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
DRREDDY.NS,7210d4a2ac7f,7210d4a2ac7f,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
EICHERMOT.NS,cebb182a5b8f,cebb182a5b8f,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
EICHERMOT.NS,f4fcbc8ea09b,f4fcbc8ea09b,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
EICHERMOT.NS,1add26b9ab6f,1add26b9ab6f,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
ETERNAL.NS,e88bbaaef3e7,e88bbaaef3e7,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ETERNAL.NS,95138f428631,95138f428631,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ETERNAL.NS,213c7cdf6b07,213c7cdf6b07,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
GRASIM.NS,bd33d236146e,bd33d236146e,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
GRASIM.NS,60c64b7bac5f,60c64b7bac5f,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
GRASIM.NS,2c1de894a637,2c1de894a637,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
HCLTECH.NS,e3f525b6c80b,e3f525b6c80b,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HCLTECH.NS,0897f8e186c5,0897f8e186c5,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HCLTECH.NS,c52c57f19196,c52c57f19196,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
HDFCBANK.NS,44def814527e,44def814527e,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HDFCBANK.NS,ea91152f3700,ea91152f3700,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HDFCBANK.NS,4a79ab752e51,4a79ab752e51,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
HDFCLIFE.NS,41399ec09316,41399ec09316,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HDFCLIFE.NS,645a8e00fc74,645a8e00fc74,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HDFCLIFE.NS,2a47400ee179,2a47400ee179,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
HEROMOTOCO.NS,38319e433e38,38319e433e38,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HEROMOTOCO.NS,8bc8602ae09a,8bc8602ae09a,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HEROMOTOCO.NS,50e12ce11fad,50e12ce11fad,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
HINDALCO.NS,75117f692dd8,75117f692dd8,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HINDALCO.NS,dbc2925e4fde,dbc2925e4fde,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HINDALCO.NS,75c4bcd16d7e,75c4bcd16d7e,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
HINDUNILVR.NS,cd95e34ed076,cd95e34ed076,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HINDUNILVR.NS,d623ab98c5ab,d623ab98c5ab,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
HINDUNILVR.NS,6ae4cbc68cf5,6ae4cbc68cf5,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
ICICIBANK.NS,d63609af1d97,d63609af1d97,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ICICIBANK.NS,42fb30971459,42fb30971459,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ICICIBANK.NS,9a90cf51924c,9a90cf51924c,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
INDIGO.NS,25dbcd62a57b,25dbcd62a57b,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
INDIGO.NS,f0e8b414f4f4,f0e8b414f4f4,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
INDIGO.NS,208247af8cb1,208247af8cb1,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
INFY.NS,ce793e4e8839,ce793e4e8839,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
INFY.NS,90f8d2184423,90f8d2184423,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
INFY.NS,6c549effc744,6c549effc744,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
ITC.NS,ec7014f4e9df,ec7014f4e9df,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ITC.NS,1ff50678cced,1ff50678cced,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
ITC.NS,dd4365c40715,dd4365c40715,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
JIOFIN.NS,a136644c1d2e,a136644c1d2e,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
JIOFIN.NS,0d2db96d5965,0d2db96d5965,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
JIOFIN.NS,beb622d9d178,beb622d9d178,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
JSWSTEEL.NS,a62a0a0f6fd9,a62a0a0f6fd9,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
JSWSTEEL.NS,f6cbf70e626f,f6cbf70e626f,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
JSWSTEEL.NS,15f1cf629f57,15f1cf629f57,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
KOTAKBANK.NS,ae9b42f39a04,ae9b42f39a04,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
KOTAKBANK.NS,8778f8301216,8778f8301216,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
KOTAKBANK.NS,572bb63ba388,572bb63ba388,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
