ticker,version,quality_classification
HCLTECH.NS,e3f525b6c80b,AMBIGUOUS
HCLTECH.NS,0897f8e186c5,AMBIGUOUS
HCLTECH.NS,c52c57f19196,AMBIGUOUS
HDFCBANK.NS,44def814527e,AMBIGUOUS
HDFCBANK.NS,ea91152f3700,AMBIGUOUS
HDFCBANK.NS,4a79ab752e51,AMBIGUOUS
HDFCLIFE.NS,41399ec09316,AMBIGUOUS
HDFCLIFE.NS,645a8e00fc74,AMBIGUOUS
HDFCLIFE.NS,2a47400ee179,AMBIGUOUS
HEROMOTOCO.NS,38319e433e38,AMBIGUOUS
HEROMOTOCO.NS,8bc8602ae09a,AMBIGUOUS
HEROMOTOCO.NS,50e12ce11fad,AMBIGUOUS
HINDALCO.NS,75117f692dd8,AMBIGUOUS
HINDALCO.NS,dbc2925e4fde,AMBIGUOUS
HINDALCO.NS,75c4bcd16d7e,AMBIGUOUS
HINDUNILVR.NS,cd95e34ed076,AMBIGUOUS
HINDUNILVR.NS,d623ab98c5ab,AMBIGUOUS
HINDUNILVR.NS,6ae4cbc68cf5,AMBIGUOUS
ICICIBANK.NS,d63609af1d97,AMBIGUOUS
ICICIBANK.NS,42fb30971459,AMBIGUOUS
ICICIBANK.NS,9a90cf51924c,AMBIGUOUS
INDIGO.NS,25dbcd62a57b,AMBIGUOUS
INDIGO.NS,f0e8b414f4f4,AMBIGUOUS
INDIGO.NS,208247af8cb1,AMBIGUOUS
INFY.NS,ce793e4e8839,AMBIGUOUS
INFY.NS,90f8d2184423,AMBIGUOUS
INFY.NS,6c549effc744,AMBIGUOUS
ITC.NS,ec7014f4e9df,AMBIGUOUS
ITC.NS,1ff50678cced,AMBIGUOUS
ITC.NS,dd4365c40715,AMBIGUOUS
JIOFIN.NS,a136644c1d2e,AMBIGUOUS
JIOFIN.NS,0d2db96d5965,AMBIGUOUS
JIOFIN.NS,beb622d9d178,AMBIGUOUS
JSWSTEEL.NS,a62a0a0f6fd9,AMBIGUOUS
JSWSTEEL.NS,f6cbf70e626f,AMBIGUOUS
JSWSTEEL.NS,15f1cf629f57,AMBIGUOUS
KOTAKBANK.NS,ae9b42f39a04,AMBIGUOUS
KOTAKBANK.NS,8778f8301216,AMBIGUOUS
KOTAKBANK.NS,572bb63ba388,AMBIGUOUS
LT.NS,8c272c989297,AMBIGUOUS
LT.NS,1e25cd6b3edc,AMBIGUOUS
LT.NS,fffa74c6ced2,AMBIGUOUS
M&M.NS,0743b33ecef7,AMBIGUOUS
M&M.NS,558d590356df,AMBIGUOUS
