ticker,cutoff_date,is_t1,horizon,historical_observation_count,historical_mean_delta_f1,historical_median_delta_f1,historical_consistency,historical_collapse_rate,historical_prediction_shift,delta_cv_score,control_f1,pcr_f1,actual_delta_f1,class_collapse,target_cutoff_validation_passed,target_leakage_violations,Gate_A_enabled,Gate_A_f1,Gate_A_delta_vs_control,Gate_B_enabled,Gate_B_f1,Gate_B_delta_vs_control,Gate_C_enabled,Gate_C_f1,Gate_C_delta_vs_control,Gate_D_enabled,Gate_D_f1,Gate_D_delta_vs_control
INDIGO.NS,2026-05-08,False,10,3,-0.0129635495172727,-0.0240828349932556,0.3333333333333333,0.3333333333333333,28.666666666666668,0.0058587007846482,0.3209748712874915,0.3587252881689053,0.0377504168814138,False,True,0,False,0.3209748712874915,0.0,False,0.3209748712874915,0.0,True,0.3587252881689053,0.037750416881413784,False,0.3209748712874915,0.0
INDIGO.NS,2026-08-10,False,10,4,-0.000285057917601075,-0.0068019729056822,0.5,0.25,33.0,-0.0027586944248552,0.3080465744776403,0.304101838755304,-0.0039447357223362,False,True,0,False,0.3080465744776403,0.0,False,0.3080465744776403,0.0,False,0.3080465744776403,0.0,False,0.3080465744776403,0.0
INFY.NS,2025-08-08,True,5,0,0.0,0.0,0.0,0.0,0.0,-0.0233027555485249,0.2896687541848832,0.2791614307168909,-0.0105073234679923,True,True,0,False,0.2896687541848832,0.0,False,0.2896687541848832,0.0,False,0.2896687541848832,0.0,False,0.2896687541848832,0.0
INFY.NS,2025-11-10,False,5,1,-0.0105073234679923,-0.0105073234679923,0.0,1.0,6.0,-0.0212627223320975,0.3361846231029725,0.335519070301679,-0.0006655528012935,False,True,0,False,0.3361846231029725,0.0,False,0.3361846231029725,0.0,False,0.3361846231029725,0.0,False,0.3361846231029725,0.0
INFY.NS,2026-02-10,False,5,2,-0.0055864381346429,-0.0055864381346429,0.0,0.5,18.0,-0.0253880577345025,0.3083494345261097,0.3511446621110942,0.0427952275849845,False,True,0,False,0.3083494345261097,0.0,False,0.3083494345261097,0.0,False,0.3083494345261097,0.0,False,0.3083494345261097,0.0
INFY.NS,2026-05-08,False,5,3,0.010540783771899568,-0.0006655528012935,0.3333333333333333,0.3333333333333333,23.333333333333332,0.0025978207877359,0.3438230935418787,0.3628142411975599,0.0189911476556812,False,True,0,True,0.3628142411975599,0.018991147655681218,False,0.3438230935418787,0.0,True,0.3628142411975599,0.018991147655681218,True,0.3628142411975599,0.018991147655681218
INFY.NS,2026-08-10,False,5,4,0.012653374742844975,0.00916279742719385,0.5,0.25,22.0,-0.0150789372639115,0.2985273464146703,0.3524623524623524,0.0539350060476821,False,True,0,True,0.3524623524623524,0.05393500604768209,False,0.2985273464146703,0.0,False,0.2985273464146703,0.0,True,0.3524623524623524,0.05393500604768209
ITC.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0175875365988804,0.4171222373477427,0.4411328902248,0.0240106528770572,False,True,0,False,0.4171222373477427,0.0,False,0.4171222373477427,0.0,True,0.4411328902248,0.024010652877057337,True,0.4411328902248,0.024010652877057337
ITC.NS,2025-11-10,False,10,1,0.0240106528770572,0.0240106528770572,1.0,0.0,14.0,0.0042219616733443,0.3743206206159706,0.4054144093654648,0.0310937887494942,False,True,0,True,0.4054144093654648,0.0310937887494942,True,0.4054144093654648,0.0310937887494942,True,0.4054144093654648,0.0310937887494942,True,0.4054144093654648,0.0310937887494942
ITC.NS,2026-02-10,False,10,2,0.0275522208132757,0.0275522208132757,1.0,0.0,14.0,0.0052351568317784,0.3690566037735849,0.39132098158168,0.0222643778080951,False,True,0,True,0.39132098158168,0.022264377808095093,True,0.39132098158168,0.022264377808095093,True,0.39132098158168,0.022264377808095093,True,0.39132098158168,0.022264377808095093
ITC.NS,2026-05-08,False,10,3,0.025789606478215498,0.0240106528770572,1.0,0.0,14.0,0.023251310600722,0.3513842746400886,0.3422401218551936,-0.0091441527848949,False,True,0,True,0.3422401218551936,-0.009144152784894999,True,0.3422401218551936,-0.009144152784894999,True,0.3422401218551936,-0.009144152784894999,True,0.3422401218551936,-0.009144152784894999
ITC.NS,2026-08-10,False,10,4,0.017056166662437897,0.023137515342576152,0.75,0.0,19.0,-0.0041437804336039,0.3429484837413226,0.3101724557879022,-0.0327760279534203,False,True,0,True,0.3101724557879022,-0.032776027953420384,True,0.3101724557879022,-0.032776027953420384,False,0.3429484837413226,0.0,True,0.3101724557879022,-0.032776027953420384
JSWSTEEL.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,-0.0354352305271489,0.3719845045706466,0.3346366765190575,-0.037347828051589,False,True,0,False,0.3719845045706466,0.0,False,0.3719845045706466,0.0,False,0.3719845045706466,0.0,False,0.3719845045706466,0.0
JSWSTEEL.NS,2025-11-10,False,10,1,-0.037347828051589,-0.037347828051589,0.0,0.0,32.0,-0.0336716125528502,0.2449234804614262,0.2679912242301361,0.0230677437687099,False,True,0,False,0.2449234804614262,0.0,False,0.2449234804614262,0.0,False,0.2449234804614262,0.0,False,0.2449234804614262,0.0
JSWSTEEL.NS,2026-02-10,False,10,2,-0.0071400421414395485,-0.0071400421414395485,0.5,0.0,39.0,-0.0104520469735591,0.3219771865864206,0.3194478689679464,-0.0025293176184741,False,True,0,False,0.3219771865864206,0.0,False,0.3219771865864206,0.0,False,0.3219771865864206,0.0,False,0.3219771865864206,0.0
JSWSTEEL.NS,2026-05-08,False,10,3,-0.005603133967117733,-0.0025293176184741,0.3333333333333333,0.0,29.333333333333332,-0.015458308900572,0.2725679592048228,0.281317888249411,0.0087499290445881,False,True,0,False,0.2725679592048228,0.0,False,0.2725679592048228,0.0,False,0.2725679592048228,0.0,False,0.2725679592048228,0.0
JSWSTEEL.NS,2026-08-10,False,10,4,-0.0020148682141912745,0.0031103057130570004,0.5,0.0,23.5,-0.0123947370996598,0.3038113317257537,0.2946683725541655,-0.0091429591715882,True,True,0,False,0.3038113317257537,0.0,False,0.3038113317257537,0.0,False,0.3038113317257537,0.0,False,0.3038113317257537,0.0
KOTAKBANK.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0200667716277785,0.3854990160014264,0.3534086383548749,-0.0320903776465514,False,True,0,False,0.3854990160014264,0.0,False,0.3854990160014264,0.0,True,0.3534086383548749,-0.03209037764655148,True,0.3534086383548749,-0.03209037764655148
KOTAKBANK.NS,2025-11-10,False,10,1,-0.0320903776465514,-0.0320903776465514,0.0,0.0,4.0,-0.0101583493826037,0.349838137261087,0.3272098188194038,-0.0226283184416831,False,True,0,False,0.349838137261087,0.0,False,0.349838137261087,0.0,False,0.349838137261087,0.0,False,0.349838137261087,0.0
KOTAKBANK.NS,2026-02-10,False,10,2,-0.02735934804411725,-0.02735934804411725,0.0,0.0,20.0,-0.0169549348527014,0.3744971264367816,0.3619618900191656,-0.012535236417616,False,True,0,False,0.3744971264367816,0.0,False,0.3744971264367816,0.0,False,0.3744971264367816,0.0,False,0.3744971264367816,0.0
KOTAKBANK.NS,2026-05-08,False,10,3,-0.022417977501950168,-0.0226283184416831,0.0,0.0,22.666666666666668,0.005333788281693,0.3392547921278102,0.2743301447868773,-0.0649246473409328,True,True,0,False,0.3392547921278102,0.0,False,0.3392547921278102,0.0,True,0.2743301447868773,-0.0649246473409329,False,0.3392547921278102,0.0
KOTAKBANK.NS,2026-08-10,False,10,4,-0.033044644961695825,-0.02735934804411725,0.0,0.25,28.0,-0.0065176930896301,0.3296961916987591,0.3432369557992689,0.0135407641005098,False,True,0,False,0.3296961916987591,0.0,False,0.3296961916987591,0.0,False,0.3296961916987591,0.0,False,0.3296961916987591,0.0
LT.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0079922155625033,0.3276094276094276,0.3743928183880833,0.0467833907786556,False,True,0,False,0.3276094276094276,0.0,False,0.3276094276094276,0.0,True,0.3743928183880833,0.04678339077865573,True,0.3743928183880833,0.04678339077865573
LT.NS,2025-11-10,False,10,1,0.0467833907786556,0.0467833907786556,1.0,0.0,22.0,-0.0040549830833239,0.3797413121396291,0.3743790072169919,-0.0053623049226371,False,True,0,True,0.3743790072169919,-0.005362304922637173,True,0.3743790072169919,-0.005362304922637173,False,0.3797413121396291,0.0,True,0.3743790072169919,-0.005362304922637173
LT.NS,2026-02-10,False,10,2,0.02071054292800925,0.02071054292800925,0.5,0.0,13.0,-9.784001690654742e-05,0.402330014056508,0.4237644650917122,0.0214344510352041,False,True,0,True,0.4237644650917122,0.021434451035204194,True,0.4237644650917122,0.021434451035204194,False,0.402330014056508,0.0,True,0.4237644650917122,0.021434451035204194
LT.NS,2026-05-08,False,10,3,0.020951845630407532,0.0214344510352041,0.6666666666666666,0.0,12.666666666666666,0.0019502104815882,0.3784649051478916,0.4268836816417606,0.048418776493869,False,True,0,True,0.4268836816417606,0.048418776493869,True,0.4268836816417606,0.048418776493869,True,0.4268836816417606,0.048418776493869,True,0.4268836816417606,0.048418776493869
LT.NS,2026-08-10,False,10,4,0.0278185783462729,0.03410892090692985,0.75,0.0,14.0,0.0047335079338877,0.3033753862615808,0.3775131011155856,0.0741377148540047,False,True,0,True,0.3775131011155856,0.07413771485400483,True,0.3775131011155856,0.07413771485400483,True,0.3775131011155856,0.07413771485400483,True,0.3775131011155856,0.07413771485400483
M&M.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0025637254781105,0.3996365703682777,0.3325635137282088,-0.0670730566400689,True,True,0,False,0.3996365703682777,0.0,False,0.3996365703682777,0.0,True,0.3325635137282088,-0.0670730566400689,False,0.3996365703682777,0.0
M&M.NS,2025-11-10,False,10,1,-0.0670730566400689,-0.0670730566400689,0.0,1.0,42.0,-0.0144862563334286,0.3438209284978106,0.3510970877307511,0.0072761592329405,True,True,0,False,0.3438209284978106,0.0,False,0.3438209284978106,0.0,False,0.3438209284978106,0.0,False,0.3438209284978106,0.0
M&M.NS,2026-02-10,False,10,2,-0.029898448703564205,-0.029898448703564205,0.5,1.0,44.0,-0.0029797087661661,0.3544357864357865,0.3540185933445024,-0.000417193091284,False,True,0,False,0.3544357864357865,0.0,False,0.3544357864357865,0.0,False,0.3544357864357865,0.0,False,0.3544357864357865,0.0
M&M.NS,2026-05-08,False,10,3,-0.020071363499470803,-0.000417193091284,0.3333333333333333,0.6666666666666666,38.666666666666664,-0.0151947741609494,0.3366831274775688,0.3659777492673708,0.029294621789802,True,True,0,False,0.3366831274775688,0.0,False,0.3366831274775688,0.0,False,0.3366831274775688,0.0,False,0.3366831274775688,0.0
M&M.NS,2026-08-10,False,10,4,-0.007729867177152601,0.00342948307082825,0.5,0.75,48.5,0.0054682086971732,0.372514434027226,0.3225156148987547,-0.0499988191284712,True,True,0,False,0.372514434027226,0.0,False,0.372514434027226,0.0,True,0.3225156148987547,-0.04999881912847132,False,0.372514434027226,0.0
MARUTI.NS,2025-08-08,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0169315748913663,0.3798692810457516,0.4242753623188406,0.0444060812730889,False,True,0,False,0.3798692810457516,0.0,False,0.3798692810457516,0.0,True,0.4242753623188406,0.04440608127308904,True,0.4242753623188406,0.04440608127308904
MARUTI.NS,2025-11-10,False,10,1,0.0444060812730889,0.0444060812730889,1.0,0.0,10.0,-0.0204995147679306,0.2714285714285714,0.2792602879559401,0.0078317165273687,False,True,0,True,0.2792602879559401,0.007831716527368693,True,0.2792602879559401,0.007831716527368693,False,0.2714285714285714,0.0,True,0.2792602879559401,0.007831716527368693
MARUTI.NS,2026-02-10,False,10,2,0.0261188989002288,0.0261188989002288,1.0,0.0,14.0,-0.0020563463026416,0.3043616247250456,0.2885878912968696,-0.015773733428176,True,True,0,True,0.2885878912968696,-0.01577373342817595,True,0.2885878912968696,-0.01577373342817595,False,0.3043616247250456,0.0,True,0.2885878912968696,-0.01577373342817595
MARUTI.NS,2026-05-08,False,10,3,0.012154688124093866,0.0078317165273687,0.6666666666666666,0.3333333333333333,14.0,-0.0249355547257248,0.3110629527274655,0.2853056676586088,-0.0257572850688566,False,True,0,True,0.2853056676586088,-0.02575728506885666,False,0.3110629527274655,0.0,False,0.3110629527274655,0.0,True,0.2853056676586088,-0.02575728506885666
MARUTI.NS,2026-08-10,False,10,4,0.00267669482585625,-0.00397100845040365,0.5,0.25,13.0,0.0012377855358693,0.2689999729751006,0.2671215074723846,-0.0018784655027159,True,True,0,True,0.2671215074723846,-0.0018784655027159758,False,0.2689999729751006,0.0,True,0.2671215074723846,-0.0018784655027159758,True,0.2671215074723846,-0.0018784655027159758
