ticker,OHLCV_latest,OHLCV_status,PCR_dependency,PCR_latest,PCR_status,news_latest,news_age,news_7d_status,sector_status,fii_dii_status,active_model_version,feature_pipeline_version,feature_contract_status,overall_readiness
ETERNAL.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,213c7cdf6b07,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
GRASIM.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,2c1de894a637,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
HCLTECH.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,0897f8e186c5,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
HDFCBANK.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,4a79ab752e51,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
HDFCLIFE.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,41399ec09316,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
HEROMOTOCO.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,8bc8602ae09a,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
HINDALCO.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,dbc2925e4fde,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
HINDUNILVR.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,cd95e34ed076,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
ICICIBANK.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,d63609af1d97,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
INDIGO.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,25dbcd62a57b,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
INFY.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,ce793e4e8839,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
ITC.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,dd4365c40715,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
JIOFIN.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,0d2db96d5965,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
